Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16878.7025,NA,6.26710000000000,6.93380000000000,0.37470000000000,3.25520000000000,11.5065,16872.9149,6.1623,5.7876,0.3747,5.3720,3.6708,3.5045,0.1663,3.6587,16872.9149,NA,18.8299,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16884.9371,NA,6.23460000000000,6.94950000000000,0.43010000000000,3.55010000000000,12.2214,16879.0772,6.2900,5.8599,0.4301,5.6309,3.7791,3.4848,0.2943,-0.7872,16879.0772,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16890.6770,NA,5.73990000000000,6.94790000000000,0.40080000000000,3.39120000000000,13.4294,16885.3672,5.7106,5.3098,0.4008,5.0212,3.6798,3.4780,0.2018,-0.6579,16885.3672,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16898.3295,NA,7.65250000000000,6.95070000000000,0.42160000000000,2.91780000000000,12.7276,16891.0778,7.6733,7.2517,0.4216,6.4868,3.6827,3.5183,0.1644,-1.2401,16891.0778,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16903.7033,NA,5.37380000000000,6.94850000000000,0.40880000000000,3.75310000000000,14.3023,16898.7511,5.3610,4.9522,0.4088,4.8927,3.8126,3.5642,0.2484,0.7248,16898.7511,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16910.3069,NA,6.60360000000000,6.94690000000000,0.42620000000000,3.54470000000000,14.6456,16904.1121,6.6210,6.1948,0.4262,5.9940,3.7455,3.4847,0.2608,-1.5859,16904.1121,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16926.2903,NA,15.98340000000000,13.89510000000000,0.44500000000000,3.40590000000000,12.5573,16910.7331,16.0022,15.5572,0.4450,15.4714,3.4917,3.2515,0.2402,-7.2741,16910.7331,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16932.5969,NA,6.30660000000000,6.94940000000000,0.53160000000000,2.86230000000000,13.2001,16926.7353,6.3932,5.8616,0.5316,5.0727,3.6512,3.4922,0.1590,9.0528,16926.7353,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16940.9747,NA,8.37780000000000,6.95260000000000,0.66410000000000,3.00320000000000,11.7749,16933.1285,8.5103,7.8462,0.6641,3.4515,7.3979,3.9702,3.4277,-0.5594,16933.1285,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16949.9625,NA,8.98780000000000,6.95770000000000,0.39960000000000,3.46250000000000,9.7448,16941.6388,8.7233,8.3237,0.3996,8.1334,3.6528,3.4572,0.1956,1.5526,16941.6388,NA,26.3556,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16955.3441,NA,5.38160000000000,6.94210000000000,0.40710000000000,3.66080000000000,11.3053,16950.3621,5.3891,4.9820,0.4071,4.8126,3.8302,3.4978,0.3324,1.7812,16950.3621,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16962.6700,NA,7.32590000000000,6.94540000000000,0.43430000000000,3.45020000000000,10.9248,16955.7512,7.3531,6.9188,0.4343,6.6930,3.6760,3.5237,0.1523,-1.5563,16955.7512,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16972.0518,NA,9.38180000000000,6.94630000000000,0.66950000000000,2.78010000000000,8.4893,16963.1043,9.6170,8.9475,0.6695,7.9956,3.7320,3.5579,0.1741,0.4068,16963.1043,NA,11.1808,NA
